Date,Service,UsageQuantity,,,,BINS,,
2025-07-25,Amazon Route 53,253,,,253,,,
2025-07-25,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-25,Amazon Virtual Private Cloud,120,,,120,,,
2025-07-25,AmazonCloudWatch,2.5389607915,,,3,,,
2025-07-26,AWS Amplify,0.0000044566,,,0,,,
2025-07-26,AWS Data Transfer,0,,,0,,,
2025-07-26,AWS Key Management Service,192.032258064,,,192,,,
2025-07-26,EC2 - Other,74.5009751319,,,75,,,
2025-07-26,Amazon Elastic Compute Cloud - Compute,48.0011852763,,,48,,,
2025-07-26,Amazon Elastic Container Service for Kubernetes,204.1176246232,,,204,,,
2025-07-26,Amazon Elastic Load Balancing,24.0036073841,,,24,,,
2025-07-26,Amazon Route 53,166,,,166,,,
2025-07-26,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-26,Amazon Virtual Private Cloud,120.423333,,,120,,,
2025-07-26,AmazonCloudWatch,2.0383167651,,,2,,,
2025-07-27,AWS Amplify,0.0000008782,,,0,,,
2025-07-27,AWS Data Transfer,0,,,0,,,
2025-07-27,AWS Key Management Service,192.032258064,,,192,,,
2025-07-27,EC2 - Other,74.424887121,,,74,,,
2025-07-27,Amazon Elastic Compute Cloud - Compute,48.0026599107,,,48,,,
2025-07-27,Amazon Elastic Container Service for Kubernetes,201.234729631,,,201,,,
2025-07-27,Amazon Elastic Load Balancing,24.0645595652,,,24,,,
2025-07-27,Amazon Route 53,201,,,201,,,
2025-07-27,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-27,Amazon Virtual Private Cloud,120.4225,,,120,,,
2025-07-27,AmazonCloudWatch,2.0455824433,,,2,,,
2025-07-28,AWS Amplify,0.0000009332,,,0,,,
2025-07-28,AWS Data Transfer,0,,,0,,,
2025-07-28,AWS Key Management Service,192.032258064,,,192,,,
2025-07-28,EC2 - Other,73.8296415271,,,74,,,
2025-07-28,Amazon Elastic Compute Cloud - Compute,48.0031186324,,,48,,,
2025-07-28,Amazon Elastic Container Service for Kubernetes,132.0031466205,,,132,,,
